46:41.0,00:00.0,100,2,51,51,51,185858,46781,16329,5047,20113,9793,11337,4043
46:42.0,00:00.0,100,2,50,56,53,53991,18968,13022,6940,27318,9934,3886,4400
46:43.0,00:00.0,100,2,30,56,43,96574,53753,43197,2119,2119,3159,1826,381
46:44.0,00:00.0,100,2,40,69,54,38256,44422,21587,25807,10813,10774,3800,2133
46:45.0,00:00.0,100,2,50,77,63,31965,18201,13146,19521,14776,23228,6647,2842
46:46.0,00:00.0,100,2,41,66,53,170092,25005,1947,1663,3636,2765,2013,985
46:47.0,00:00.0,100,2,57,56,56,927646,531069,74964,140102,187552,175381,22860,10632
46:48.0,00:00.0,100,2,63,48,55,390317,49410,7177,10025,11272,14784,7101,3751
46:49.0,00:00.0,100,2,67,44,55,20157,16379,8330,8907,3561,28572,13053,3066
46:50.0,00:00.0,100,2,67,67,67,73488,29346,56132,77956,31538,13475,15718,5248
46:51.0,00:00.0,100,2,66,74,70,91195,56457,12262,21578,7993,20076,4808,1878
46:52.0,00:00.0,100,2,64,80,72,71187,52301,23572,24067,14625,17317,4730,4183
46:53.0,00:00.0,100,2,66,74,70,14733,4282,5628,1023,20540,9714,9207,1994
46:54.0,00:00.0,100,2,80,63,71,7472,15868,13750,12056,12047,18309,6163,2315
46:55.0,00:00.0,100,2,70,63,66,65448,24956,4167,9519,3722,2939,1768,1800
46:56.0,00:00.0,100,2,67,60,63,78377,93490,29078,18779,17056,16513,9726,2054
46:57.0,00:00.0,100,2,53,74,63,70422,48888,37288,26133,14351,15398,7649,7623
46:58.0,00:00.0,100,2,40,64,52,202737,123423,12684,20646,53732,14422,8208,3760
46:59.0,00:00.0,100,2,48,69,58,128519,14067,5799,14707,5297,7007,1938,542
47:00.0,00:00.0,100,2,53,70,61,9687,44397,28839,1605,8715,15949,19990,3041
47:01.0,00:00.0,100,1,53,63,58,808434,279126,20281,96449,62153,57460,17621,9766
47:02.0,00:00.0,100,1,56,70,63,223243,11285,5503,3484,1390,3153,1521,522
47:03.0,00:00.0,100,1,50,64,57,340872,84099,20165,28187,17688,12141,7783,10698
47:04.0,00:00.0,100,1,48,57,52,201771,238546,52488,7808,49195,55479,11205,9272
47:05.0,00:00.0,100,1,37,47,42,195695,21649,1239,787,2581,782,912,874
47:06.0,00:00.0,100,1,34,47,40,477567,18140,9086,8444,6556,4355,3696,1437
47:07.0,00:00.0,100,1,40,50,45,371286,53543,26719,27838,23524,18569,5619,8234
47:08.0,00:00.0,100,1,26,47,36,754868,364880,22859,18744,16737,15164,22527,10439
47:09.0,00:00.0,100,1,30,48,39,253556,274740,6899,27382,73065,16081,21340,4254
47:10.0,00:00.0,100,1,43,41,42,2697,25017,3296,20360,36300,23517,8900,5164
47:11.0,00:00.0,100,1,50,44,47,9616,7110,12037,21147,16812,15660,10638,2545
47:12.0,00:00.0,100,1,64,60,62,105687,104423,40720,50212,11317,35963,9532,9423
