'Time','VidTime','Raw Value','Blink','Mark'
2019/10/22 10:45:04.349,07:00:00.349,67,0,0
2019/10/22 10:45:04.351,07:00:00.351,49,0,0
2019/10/22 10:45:04.353,07:00:00.353,28,0,0
2019/10/22 10:45:04.355,07:00:00.355,45,0,0
2019/10/22 10:45:04.357,07:00:00.357,101,0,0
2019/10/22 10:45:04.359,07:00:00.359,116,0,0
2019/10/22 10:45:04.361,07:00:00.361,54,0,0
2019/10/22 10:45:04.363,07:00:00.363,2,0,0
2019/10/22 10:45:04.365,07:00:00.365,27,0,0
2019/10/22 10:45:04.367,07:00:00.367,87,0,0
2019/10/22 10:45:04.369,07:00:00.369,105,0,0
2019/10/22 10:45:04.371,07:00:00.371,74,0,0
2019/10/22 10:45:04.373,07:00:00.373,42,0,0
2019/10/22 10:45:04.375,07:00:00.375,18,0,0
2019/10/22 10:45:04.376,07:00:00.376,3,0,0
2019/10/22 10:45:04.378,07:00:00.378,22,0,0
2019/10/22 10:45:04.380,07:00:00.380,38,0,0
2019/10/22 10:45:04.382,07:00:00.382,33,0,0
2019/10/22 10:45:04.384,07:00:00.384,18,0,0
2019/10/22 10:45:04.386,07:00:00.386,17,0,0
2019/10/22 10:45:04.388,07:00:00.388,27,0,0
2019/10/22 10:45:04.390,07:00:00.390,11,0,0
2019/10/22 10:45:04.392,07:00:00.392,-3,0,0
2019/10/22 10:45:04.394,07:00:00.394,2,0,0
2019/10/22 10:45:04.396,07:00:00.396,33,0,0
2019/10/22 10:45:04.398,07:00:00.398,81,0,0
2019/10/22 10:45:04.400,07:00:00.400,86,0,0
2019/10/22 10:45:04.402,07:00:00.402,32,0,0
2019/10/22 10:45:04.404,07:00:00.404,-13,0,0
2019/10/22 10:45:04.406,07:00:00.406,-21,0,0
2019/10/22 10:45:04.408,07:00:00.408,10,0,0
2019/10/22 10:45:04.410,07:00:00.410,19,0,0
2019/10/22 10:45:04.412,07:00:00.412,-4,0,0
2019/10/22 10:45:04.414,07:00:00.414,-3,0,0
2019/10/22 10:45:04.416,07:00:00.416,2,0,0
2019/10/22 10:45:04.417,07:00:00.417,24,0,0
2019/10/22 10:45:04.419,07:00:00.419,38,0,0
2019/10/22 10:45:04.421,07:00:00.421,11,0,0
2019/10/22 10:45:04.423,07:00:00.423,-11,0,0
2019/10/22 10:45:04.425,07:00:00.425,-4,0,0
2019/10/22 10:45:04.427,07:00:00.427,21,0,0
2019/10/22 10:45:04.429,07:00:00.429,35,0,0
2019/10/22 10:45:04.431,07:00:00.431,11,0,0
2019/10/22 10:45:04.433,07:00:00.433,1,0,0
2019/10/22 10:45:04.435,07:00:00.435,28,0,0
2019/10/22 10:45:04.437,07:00:00.437,66,0,0
2019/10/22 10:45:04.439,07:00:00.439,87,0,0
2019/10/22 10:45:04.441,07:00:00.441,73,0,0
2019/10/22 10:45:04.443,07:00:00.443,43,0,0
2019/10/22 10:45:04.445,07:00:00.445,45,0,0
2019/10/22 10:45:04.447,07:00:00.447,74,0,0
2019/10/22 10:45:04.449,07:00:00.449,101,0,0
2019/10/22 10:45:04.451,07:00:00.451,98,0,0
2019/10/22 10:45:04.453,07:00:00.453,55,0,0
2019/10/22 10:45:04.455,07:00:00.455,22,0,0
2019/10/22 10:45:04.457,07:00:00.457,22,0,0
2019/10/22 10:45:04.458,07:00:00.458,36,0,0
2019/10/22 10:45:04.460,07:00:00.460,43,0,0
2019/10/22 10:45:04.462,07:00:00.462,25,0,0
2019/10/22 10:45:04.464,07:00:00.464,19,0,0
2019/10/22 10:45:04.466,07:00:00.466,34,0,0
2019/10/22 10:45:04.468,07:00:00.468,59,0,0
2019/10/22 10:45:04.470,07:00:00.470,66,0,0
2019/10/22 10:45:04.472,07:00:00.472,35,0,0
2019/10/22 10:45:04.474,07:00:00.474,8,0,0
2019/10/22 10:45:04.476,07:00:00.476,13,0,0
2019/10/22 10:45:04.478,07:00:00.478,39,0,0
2019/10/22 10:45:04.480,07:00:00.480,37,0,0
2019/10/22 10:45:04.482,07:00:00.482,11,0,0
2019/10/22 10:45:04.484,07:00:00.484,27,0,0
2019/10/22 10:45:04.486,07:00:00.486,81,0,0
2019/10/22 10:45:04.488,07:00:00.488,88,0,0
2019/10/22 10:45:04.490,07:00:00.490,50,0,0
2019/10/22 10:45:04.492,07:00:00.492,28,0,0
2019/10/22 10:45:04.494,07:00:00.494,23,0,0
2019/10/22 10:45:04.496,07:00:00.496,29,0,0
2019/10/22 10:45:04.498,07:00:00.498,54,0,0
2019/10/22 10:45:04.500,07:00:00.500,64,0,0
2019/10/22 10:45:04.501,07:00:00.501,42,0,0
2019/10/22 10:45:04.503,07:00:00.503,4,0,0
2019/10/22 10:45:04.505,07:00:00.505,4,0,0
2019/10/22 10:45:04.507,07:00:00.507,40,0,0
2019/10/22 10:45:04.509,07:00:00.509,58,0,0
2019/10/22 10:45:04.511,07:00:00.511,42,0,0
2019/10/22 10:45:04.513,07:00:00.513,19,0,0
2019/10/22 10:45:04.515,07:00:00.515,23,0,0
2019/10/22 10:45:04.517,07:00:00.517,50,0,0
2019/10/22 10:45:04.519,07:00:00.519,73,0,0
2019/10/22 10:45:04.521,07:00:00.521,67,0,0
2019/10/22 10:45:04.523,07:00:00.523,43,0,0
2019/10/22 10:45:04.525,07:00:00.525,32,0,0
2019/10/22 10:45:04.527,07:00:00.527,27,0,0
2019/10/22 10:45:04.529,07:00:00.529,39,0,0
2019/10/22 10:45:04.531,07:00:00.531,53,0,0
2019/10/22 10:45:04.533,07:00:00.533,44,0,0
2019/10/22 10:45:04.535,07:00:00.535,32,0,0
2019/10/22 10:45:04.537,07:00:00.537,40,0,0
2019/10/22 10:45:04.539,07:00:00.539,67,0,0
2019/10/22 10:45:04.541,07:00:00.541,70,0,0
2019/10/22 10:45:04.542,07:00:00.542,54,0,0
2019/10/22 10:45:04.544,07:00:00.544,39,0,0
2019/10/22 10:45:04.546,07:00:00.546,48,0,0
2019/10/22 10:45:04.548,07:00:00.548,75,0,0
2019/10/22 10:45:04.550,07:00:00.550,93,0,0
2019/10/22 10:45:04.552,07:00:00.552,67,0,0
2019/10/22 10:45:04.554,07:00:00.554,34,0,0
2019/10/22 10:45:04.556,07:00:00.556,45,0,0
2019/10/22 10:45:04.558,07:00:00.558,81,0,0
2019/10/22 10:45:04.560,07:00:00.560,73,0,0
2019/10/22 10:45:04.562,07:00:00.562,27,0,0
2019/10/22 10:45:04.564,07:00:00.564,-3,0,0
2019/10/22 10:45:04.566,07:00:00.566,-1,0,0
2019/10/22 10:45:04.568,07:00:00.568,23,0,0
2019/10/22 10:45:04.570,07:00:00.570,34,0,0
2019/10/22 10:45:04.572,07:00:00.572,10,0,0
2019/10/22 10:45:04.574,07:00:00.574,-7,0,0
2019/10/22 10:45:04.576,07:00:00.576,12,0,0
2019/10/22 10:45:04.578,07:00:00.578,64,0,0
2019/10/22 10:45:04.580,07:00:00.580,83,0,0
2019/10/22 10:45:04.582,07:00:00.582,59,0,0
2019/10/22 10:45:04.583,07:00:00.583,58,0,0
2019/10/22 10:45:04.585,07:00:00.585,72,0,0
2019/10/22 10:45:04.587,07:00:00.587,88,0,0
2019/10/22 10:45:04.589,07:00:00.589,86,0,0
2019/10/22 10:45:04.591,07:00:00.591,58,0,0
2019/10/22 10:45:04.593,07:00:00.593,27,0,0
2019/10/22 10:45:04.595,07:00:00.595,16,0,0
2019/10/22 10:45:04.597,07:00:00.597,17,0,0
2019/10/22 10:45:04.599,07:00:00.599,9,0,0
2019/10/22 10:45:04.601,07:00:00.601,-2,0,0
2019/10/22 10:45:04.603,07:00:00.603,13,0,0
2019/10/22 10:45:04.605,07:00:00.605,40,0,0
2019/10/22 10:45:04.607,07:00:00.607,56,0,0
2019/10/22 10:45:04.609,07:00:00.609,51,0,0
2019/10/22 10:45:04.611,07:00:00.611,39,0,0
2019/10/22 10:45:04.613,07:00:00.613,53,0,0
2019/10/22 10:45:04.615,07:00:00.615,66,0,0
2019/10/22 10:45:04.617,07:00:00.617,83,0,0
2019/10/22 10:45:04.619,07:00:00.619,92,0,0
2019/10/22 10:45:04.621,07:00:00.621,84,0,0
2019/10/22 10:45:04.623,07:00:00.623,49,0,0
2019/10/22 10:45:04.625,07:00:00.625,23,0,0
2019/10/22 10:45:04.626,07:00:00.626,38,0,0
2019/10/22 10:45:04.628,07:00:00.628,73,0,0
2019/10/22 10:45:04.630,07:00:00.630,66,0,0
2019/10/22 10:45:04.632,07:00:00.632,37,0,0
2019/10/22 10:45:04.634,07:00:00.634,33,0,0
2019/10/22 10:45:04.636,07:00:00.636,83,0,0
2019/10/22 10:45:04.638,07:00:00.638,120,0,0
2019/10/22 10:45:04.640,07:00:00.640,83,0,0
2019/10/22 10:45:04.642,07:00:00.642,41,0,0
2019/10/22 10:45:04.644,07:00:00.644,49,0,0
2019/10/22 10:45:04.646,07:00:00.646,101,0,0
2019/10/22 10:45:04.648,07:00:00.648,-108,0,0
2019/10/22 10:45:04.650,07:00:00.650,-92,0,0
2019/10/22 10:45:04.652,07:00:00.652,-107,0,0
2019/10/22 10:45:04.654,07:00:00.654,-118,0,0
2019/10/22 10:45:04.656,07:00:00.656,-105,0,0
2019/10/22 10:45:04.658,07:00:00.658,-92,0,0
2019/10/22 10:45:04.660,07:00:00.660,-101,0,0
2019/10/22 10:45:04.662,07:00:00.662,-109,0,0
2019/10/22 10:45:04.664,07:00:00.664,-111,0,0
2019/10/22 10:45:04.666,07:00:00.666,-102,0,0
2019/10/22 10:45:04.667,07:00:00.667,-74,0,0
2019/10/22 10:45:04.669,07:00:00.669,-85,0,0
2019/10/22 10:45:04.671,07:00:00.671,118,0,0
2019/10/22 10:45:04.673,07:00:00.673,59,0,0
2019/10/22 10:45:04.675,07:00:00.675,38,0,0
2019/10/22 10:45:04.677,07:00:00.677,55,0,0
2019/10/22 10:45:04.679,07:00:00.679,99,0,0
2019/10/22 10:45:04.681,07:00:00.681,124,0,0
2019/10/22 10:45:04.683,07:00:00.683,108,0,0
2019/10/22 10:45:04.685,07:00:00.685,85,0,0
2019/10/22 10:45:04.687,07:00:00.687,72,0,0
2019/10/22 10:45:04.689,07:00:00.689,82,0,0
2019/10/22 10:45:04.691,07:00:00.691,75,0,0
2019/10/22 10:45:04.693,07:00:00.693,52,0,0
2019/10/22 10:45:04.695,07:00:00.695,39,0,0
2019/10/22 10:45:04.697,07:00:00.697,34,0,0
2019/10/22 10:45:04.699,07:00:00.699,11,0,0
2019/10/22 10:45:04.701,07:00:00.701,-26,0,0
2019/10/22 10:45:04.703,07:00:00.703,-65,0,0
2019/10/22 10:45:04.705,07:00:00.705,-81,0,0
2019/10/22 10:45:04.707,07:00:00.707,-86,0,0
2019/10/22 10:45:04.708,07:00:00.708,-68,0,0
2019/10/22 10:45:04.710,07:00:00.710,-29,0,0
2019/10/22 10:45:04.712,07:00:00.712,-9,0,0
2019/10/22 10:45:04.714,07:00:00.714,-17,0,0
2019/10/22 10:45:04.716,07:00:00.716,-30,0,0
2019/10/22 10:45:04.718,07:00:00.718,-29,0,0
2019/10/22 10:45:04.720,07:00:00.720,-26,0,0
2019/10/22 10:45:04.722,07:00:00.722,-34,0,0
2019/10/22 10:45:04.724,07:00:00.724,-54,0,0
2019/10/22 10:45:04.726,07:00:00.726,-61,0,0
2019/10/22 10:45:04.728,07:00:00.728,-58,0,0
2019/10/22 10:45:04.730,07:00:00.730,-78,0,0
2019/10/22 10:45:04.732,07:00:00.732,-119,0,0
2019/10/22 10:45:04.734,07:00:00.734,122,0,0
2019/10/22 10:45:04.736,07:00:00.736,-125,0,0
2019/10/22 10:45:04.738,07:00:00.738,-104,0,0
2019/10/22 10:45:04.740,07:00:00.740,-94,0,0
2019/10/22 10:45:04.742,07:00:00.742,-109,0,0
2019/10/22 10:45:04.744,07:00:00.744,-117,0,0
2019/10/22 10:45:04.746,07:00:00.746,-85,0,0
2019/10/22 10:45:04.748,07:00:00.748,-34,0,0
2019/10/22 10:45:04.750,07:00:00.750,-12,0,0
2019/10/22 10:45:04.751,07:00:00.751,-26,0,0
2019/10/22 10:45:04.753,07:00:00.753,-33,0,0
2019/10/22 10:45:04.755,07:00:00.755,-21,0,0
2019/10/22 10:45:04.757,07:00:00.757,-9,0,0
2019/10/22 10:45:04.759,07:00:00.759,-7,0,0
2019/10/22 10:45:04.761,07:00:00.761,-38,0,0
2019/10/22 10:45:04.763,07:00:00.763,-74,0,0
2019/10/22 10:45:04.765,07:00:00.765,-75,0,0
2019/10/22 10:45:04.767,07:00:00.767,-35,0,0
2019/10/22 10:45:04.769,07:00:00.769,-5,0,0
2019/10/22 10:45:04.771,07:00:00.771,-22,0,0
2019/10/22 10:45:04.773,07:00:00.773,-34,0,0
2019/10/22 10:45:04.775,07:00:00.775,-17,0,0
2019/10/22 10:45:04.777,07:00:00.777,26,0,0
2019/10/22 10:45:04.779,07:00:00.779,39,0,0
2019/10/22 10:45:04.781,07:00:00.781,17,0,0
2019/10/22 10:45:04.783,07:00:00.783,-12,0,0
2019/10/22 10:45:04.785,07:00:00.785,-1,0,0
2019/10/22 10:45:04.787,07:00:00.787,35,0,0
2019/10/22 10:45:04.789,07:00:00.789,55,0,0
