Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
45:36.0,00:00.0,74,3,51,43,47,442394,128484,27498,11562,25725,21763,13200,8247,,
45:37.0,00:00.0,74,3,51,43,47,1038596,349023,149185,96467,237949,147314,105050,30845,,
45:38.0,00:00.0,74,3,51,43,47,926775,156485,6932,2596,27720,22517,20543,3975,,
45:39.0,00:00.0,87,3,51,43,47,1302353,95937,42392,71981,24736,48081,7936,2559,,
45:40.0,00:00.0,74,3,51,43,47,1133425,89220,28564,33567,24970,13638,1701,494,,
45:41.0,00:00.0,100,3,60,44,52,70180,21535,4779,7270,7183,6084,2101,263,,
45:42.0,00:00.0,100,3,78,50,64,233548,34722,6463,18176,6616,6412,1886,1746,,
45:43.0,00:00.0,100,2,69,47,58,1579889,85804,30895,14647,34991,7518,4916,5338,,
45:44.0,00:00.0,87,2,69,47,58,1223091,44456,22350,17619,14390,7199,2993,984,,
45:45.0,00:00.0,87,2,69,47,58,652860,9778,14005,3727,5946,1183,478,367,,
45:46.0,00:00.0,100,2,54,44,49,879001,32224,10376,9720,18018,4297,1745,771,,
45:47.0,00:00.0,100,1,29,26,27,712721,81107,3567,1512,7657,1304,2666,407,,
45:48.0,00:00.0,100,4,24,14,19,736268,106421,16832,7969,27414,10915,3361,639,,
45:49.0,00:00.0,100,3,29,16,22,1281940,45301,10282,15281,12874,5395,1889,772,,
45:50.0,00:00.0,74,6,29,16,22,1776454,143104,17807,4410,15214,15356,4978,1489,,
45:51.0,00:00.0,100,3,16,10,13,1069356,122186,18799,8309,9051,4054,2059,1301,,
45:52.0,00:00.0,100,2,38,26,32,653570,109435,41641,9628,37078,19392,9134,1935,,
45:53.0,00:00.0,74,5,38,26,32,749844,9530,2098,456,1300,925,231,178,,
45:54.0,00:00.0,74,5,38,26,32,1547311,24840,17570,2552,4611,12260,810,439,,
45:55.0,00:00.0,87,5,38,26,32,336445,51708,6044,7292,2873,2209,547,427,,
45:56.0,00:00.0,100,5,34,17,25,84273,56874,3432,2126,3099,2854,390,155,,
45:57.0,00:00.0,74,7,34,17,25,866654,126470,27058,59606,79720,77691,7429,2888,,
45:58.0,00:00.0,74,7,34,17,25,2080366,149581,29126,44121,40957,58183,20367,12122,,
45:59.0,00:00.0,87,7,34,17,25,222170,58116,25025,13709,9342,8259,2960,978,,
46:00.0,00:00.0,87,7,34,17,25,1738,964,251,182,106,81,16,12,,
46:01.0,00:00.0,87,7,34,17,25,433264,68709,5312,18251,39191,11314,4894,4483,,
46:02.0,00:00.0,74,7,34,17,25,424316,58991,10175,1446,7633,5822,1488,458,,
46:03.0,00:00.0,87,7,34,17,25,1094204,16095,1196,19958,35516,19272,5475,628,,
46:04.0,00:00.0,74,7,34,17,25,78802,10800,8396,10864,14184,13432,1281,878,,
46:05.0,00:00.0,74,7,34,17,25,798782,21715,8745,4505,8365,4963,1115,982,,
46:06.0,00:00.0,87,7,34,17,25,261949,961,3128,1117,384,207,53,59,,
46:07.0,00:00.0,87,7,34,17,25,634784,38139,1043,2810,1638,2008,398,552,,
46:08.0,00:00.0,74,7,34,17,25,686567,265164,71849,41340,212134,141353,38476,35530,,
46:09.0,00:00.0,87,7,34,17,25,457606,561608,114832,134640,125575,343622,57865,23067,,
46:10.0,00:00.0,74,7,34,17,25,751256,155300,25898,16921,23694,13595,3807,1179,,
46:11.0,00:00.0,74,7,34,17,25,2537920,151556,61991,117461,130665,131161,37427,11770,,
46:12.0,00:00.0,74,7,34,17,25,827173,25905,41104,33030,37575,41568,3252,15112,,
46:13.0,00:00.0,87,7,34,17,25,1841789,83401,46831,29116,20585,19235,9529,2788,,
46:14.0,00:00.0,74,7,34,17,25,489333,235515,228465,24830,64205,61592,134953,109900,,
46:15.0,00:00.0,73,7,34,17,25,3,1,0,0,0,0,0,0,,
46:16.0,00:00.0,73,7,34,17,25,5,3,1,0,0,0,0,0,,
46:17.0,00:00.0,73,7,34,17,25,301,78,25,15,39,31,4,2,,
46:18.0,00:00.0,85,7,34,17,25,54823,12642,2744,1237,12068,6001,1980,873,,
46:19.0,00:00.0,0,7,0,0,0,191801,27592,7694,12424,6536,7021,4850,710,,
46:20.0,00:00.0,0,7,0,0,0,551033,73989,6589,12169,2941,12852,3410,2314,,
46:21.0,00:00.0,0,7,0,0,0,457592,295469,46953,72137,81882,78501,36468,11454,,
46:22.0,00:00.0,0,7,0,0,0,416239,47420,13165,21046,10476,8214,8145,1904,,
46:23.0,00:00.0,0,7,0,0,0,502035,315611,92572,79414,159637,147621,20090,10192,,
46:24.0,00:00.0,0,7,0,0,0,1030334,566226,34875,29319,105988,39938,18257,10879,,
46:25.0,00:00.0,0,7,0,0,0,819880,1374781,582774,723717,814621,180495,141312,14576,,
46:26.0,00:00.0,0,7,0,0,0,445379,94574,56338,35406,24433,26755,15878,6687,,
46:27.0,00:00.0,0,7,0,0,0,99284,7557,2562,3673,2342,1721,548,505,,
46:28.0,00:00.0,0,7,0,0,0,110274,15464,5691,1920,1520,3190,1072,518,,
46:29.0,00:00.0,0,7,0,0,0,519272,34567,5022,2009,4398,2213,687,333,,
46:30.0,00:00.0,0,7,0,0,0,45501,24073,3909,1371,1414,5872,759,603,,
46:31.0,00:00.0,0,7,0,0,0,54495,30153,5387,1149,1600,4301,1027,362,,
46:32.0,00:00.0,0,7,0,0,0,169554,59432,15146,17785,28498,31192,9711,6489,,
46:33.0,00:00.0,0,7,0,0,0,284793,138174,21364,12627,14029,34829,10855,10039,,
46:34.0,00:00.0,0,7,0,0,0,365162,24340,27427,17362,20393,50243,16169,7602,,
46:35.0,00:00.0,0,7,0,0,0,578684,169236,15835,19727,9721,21540,2788,603,,
46:36.0,00:00.0,0,7,0,0,0,316351,41522,47992,47591,11481,22366,9556,8721,,
46:37.0,00:00.0,0,7,0,0,0,1585770,125922,33248,28427,32811,67653,11861,4232,,
46:38.0,00:00.0,0,7,0,0,0,264987,272163,15128,20312,19741,120747,13048,13477,,
46:39.0,00:00.0,0,7,0,0,0,114321,10964,11379,5676,13607,20743,2578,663,,
46:40.0,00:00.0,0,7,0,0,0,175780,40275,3528,4368,9604,12756,8447,2547,,
46:41.0,00:00.0,0,7,0,0,0,844622,145413,19552,23372,18575,21659,22796,4202,,
46:42.0,00:00.0,0,7,0,0,0,721884,144783,20049,45558,37540,64791,13690,5424,,
46:43.0,00:00.0,0,7,0,0,0,1049675,62602,2424,11354,20747,19179,8952,6522,,
46:44.0,00:00.0,0,7,0,0,0,780315,29983,22592,29309,17122,28984,15305,6873,,
46:45.0,00:00.0,0,7,0,0,0,790795,67782,8520,37159,47483,20848,28470,10118,,
46:46.0,00:00.0,0,7,0,0,0,679343,300887,19824,5040,4794,85001,6314,1616,,
46:47.0,00:00.0,0,7,0,0,0,782311,150191,17742,6290,16819,101074,6596,2283,,
46:48.0,00:00.0,0,7,0,0,0,1751697,141648,40009,25517,8396,74793,10139,3668,,
46:49.0,00:00.0,0,7,0,0,0,266257,13652,6602,5649,2892,20148,975,290,,
46:50.0,00:00.0,0,7,0,0,0,188954,7960,924,2131,3622,23810,1629,828,,
46:51.0,00:00.0,0,7,0,0,0,129542,20552,6588,4263,931,14430,1350,483,,
46:52.0,00:00.0,0,7,0,0,0,1470644,422973,42128,28504,3945,93566,6812,1010,,
46:53.0,00:00.0,0,7,0,0,0,687541,76409,92603,36360,7645,73958,8648,2492,,
46:54.0,00:00.0,0,7,0,0,0,157788,21115,898,3254,3151,12836,1135,462,,
46:55.0,00:00.0,0,7,0,0,0,2899624,631957,60571,64285,52143,294720,33988,3932,,
46:56.0,00:00.0,0,7,0,0,0,526928,45620,9418,33955,29341,40635,24567,1968,,
46:57.0,00:00.0,0,7,0,0,0,21477,20926,25945,16937,29344,26923,15347,8129,,
