'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
02:59.0,00:00.0,100,2,69,27,48,17305,25131,2904,4865,10880,25013,22028,5131,,
03:00.0,00:00.0,100,2,78,8,43,4016,37737,4477,3558,9377,41675,15287,5339,,
03:01.0,00:00.0,100,2,81,16,48,97092,70385,4561,31452,8215,49141,44760,5695,,
03:02.0,00:00.0,100,2,87,10,48,23413,27966,14207,7765,6806,72215,8305,8588,,
03:03.0,00:00.0,100,2,90,13,51,13178,11781,5684,4005,16998,26515,8586,8608,,
03:04.0,00:00.0,100,2,93,26,59,14677,8147,7642,1689,6168,26391,10278,4123,,
03:05.0,00:00.0,100,2,87,29,58,2922,40948,6601,14870,3243,13374,45031,6392,,
03:06.0,00:00.0,100,2,78,30,54,6536,22188,6538,6754,16357,22230,19716,8514,,
03:07.0,00:00.0,100,2,77,23,50,22979,17852,1495,3703,12023,20519,11708,6333,,
03:08.0,00:00.0,100,2,66,37,51,8022,18389,37769,7888,22854,30420,11513,5064,,
03:09.0,00:00.0,100,2,77,37,57,6916,34294,14691,15755,15036,38702,5148,3743,,
03:10.0,00:00.0,100,2,78,34,56,241098,18310,2946,3680,3382,16841,2841,1008,,
03:11.0,00:00.0,100,2,57,34,45,103697,44467,1552,4467,4362,6143,1902,836,,
03:12.0,00:00.0,100,2,54,26,40,70481,42383,17414,18778,19665,26384,7266,4920,,
03:13.0,00:00.0,100,2,48,21,34,22539,52543,12345,8092,14322,21054,13171,10884,,
03:14.0,00:00.0,100,2,44,26,35,36042,34817,9546,8022,21722,23699,24144,14335,,
03:15.0,00:00.0,100,2,61,43,52,41786,22531,17988,5376,11085,32292,6157,5908,,
03:16.0,00:00.0,100,2,60,48,54,269004,31898,43336,2599,17427,21596,8237,6635,,
03:17.0,00:00.0,100,2,61,44,52,94674,18766,759,5727,8978,8689,2256,2574,,
03:18.0,00:00.0,100,2,64,56,60,3363,15878,32260,2254,16056,33932,13156,5324,,
03:19.0,00:00.0,100,2,64,56,60,91406,31697,32189,12134,34737,49882,14046,4244,,
03:20.0,00:00.0,100,2,63,43,53,74730,8985,3431,734,5460,2827,1395,1456,,
03:21.0,00:00.0,100,2,64,43,53,95349,41827,4673,8922,10880,22646,9462,5577,,
03:22.0,00:00.0,100,2,67,27,47,58429,18870,3483,9538,17759,30958,14702,8128,,
03:23.0,00:00.0,100,2,67,23,45,30886,52440,15043,11677,13659,55561,25867,5972,,
03:24.0,00:00.0,100,2,61,14,37,829823,287628,22710,22857,31101,33415,45974,7006,,
03:25.0,00:00.0,100,2,60,27,43,9874,37725,13314,26186,18164,28312,28220,39154,,
03:26.0,00:00.0,100,2,51,34,42,42682,38550,8361,16837,38812,29126,13591,10378,,
03:27.0,00:00.0,100,2,60,40,50,34535,6271,32200,1951,20632,64070,37431,10624,,
03:28.0,00:00.0,100,2,77,47,62,78397,64046,25992,10955,40442,60036,21196,7666,,
03:29.0,00:00.0,100,2,78,43,60,4028,51487,14700,23541,17212,40294,40912,10090,,
03:30.0,00:00.0,100,2,81,47,64,94892,57416,24971,21731,14206,59705,15343,3517,,
03:31.0,00:00.0,100,2,64,29,46,78102,28364,3123,1511,2815,10558,8393,3092,,
03:32.0,00:00.0,100,2,50,43,46,64090,27202,17097,5548,5048,5719,2568,1348,,
03:33.0,00:00.0,100,2,40,21,30,544664,171009,4236,4659,29757,28361,32826,6486,,
03:34.0,00:00.0,100,2,47,26,36,15650,9675,4458,13931,15012,29472,36153,2051,,
03:35.0,00:00.0,100,2,50,56,53,11342,22950,29954,31848,16994,41968,18925,6269,,
03:36.0,00:00.0,100,2,77,44,60,14267,13792,3565,9253,8403,46261,16741,4753,,
03:37.0,00:00.0,100,2,88,60,74,37263,57027,4904,12754,16907,44277,39532,11144,,
03:38.0,00:00.0,100,2,84,63,73,11119,17504,20637,9039,14599,35934,41045,8467,,
03:39.0,00:00.0,100,2,83,54,68,12703,29353,12349,15505,8410,24920,27918,1910,,
03:40.0,00:00.0,100,2,64,75,69,85876,13994,34751,12103,24550,14151,26116,6671,,
03:41.0,00:00.0,100,2,64,90,77,11565,12708,14883,15793,17531,23893,10442,3631,,
03:42.0,00:00.0,100,2,61,81,71,30010,40812,7564,9758,15073,34810,11745,20581,,
03:43.0,00:00.0,100,2,69,77,73,14973,18582,9270,14989,8388,48488,10372,11196,,
03:44.0,00:00.0,100,2,74,67,70,107530,59774,28090,23409,27282,31990,6970,7779,,
03:45.0,00:00.0,100,2,77,61,69,25671,21866,6567,18247,17120,33715,17361,12499,,
03:46.0,00:00.0,100,2,66,67,66,66722,47564,21932,6187,19946,17380,12919,6132,,
03:47.0,00:00.0,100,2,57,77,67,12915,12273,16104,7023,9647,15100,5037,4503,,
03:48.0,00:00.0,100,2,60,63,61,4253,44673,2008,8632,11997,18908,18494,2847,,
03:49.0,00:00.0,100,2,57,57,57,13077,24847,1293,12447,10577,25383,10208,8703,,
03:50.0,00:00.0,100,2,53,57,55,102814,44319,3464,16410,4139,9851,4874,2323,,
03:51.0,00:00.0,100,2,53,47,50,18562,71929,12644,13690,7923,39306,8973,9051,,
03:52.0,00:00.0,100,2,56,64,60,27199,16476,13808,21047,11273,23489,12176,7031,,
03:53.0,00:00.0,100,2,43,70,56,104784,18999,4428,8100,7115,5533,2768,1732,,
03:54.0,00:00.0,100,2,43,74,58,17540,39564,13594,13178,24307,10477,18040,6416,,
03:55.0,00:00.0,100,2,44,77,60,5643,31349,3060,15787,7231,24351,12379,2564,,
03:56.0,00:00.0,100,2,53,61,57,17884,8204,2862,4922,14436,22375,9282,10521,,
03:57.0,00:00.0,100,2,66,64,65,120952,20043,11932,19727,13205,30075,6735,3151,,
03:58.0,00:00.0,100,2,70,60,65,108664,23891,5271,2440,4173,7684,3067,2287,,
03:59.0,00:00.0,100,2,67,64,65,10489,28963,18080,10750,13486,19515,10358,5801,,
04:00.0,00:00.0,100,2,61,56,58,110660,16835,3063,509,5335,12514,3154,1001,,
04:01.0,00:00.0,100,2,69,41,55,13437,20919,7120,5306,14375,52123,61321,9818,,
04:02.0,00:00.0,100,2,74,35,54,11468,61774,10152,2404,11401,31036,37703,4388,,
04:03.0,00:00.0,100,2,75,35,55,13262,23651,13837,23562,34553,21782,24701,15745,,
04:04.0,00:00.0,100,2,87,34,60,21144,13241,4248,1977,11693,43552,18610,8447,,
04:05.0,00:00.0,100,2,70,53,61,95164,53738,10317,69191,16467,40682,15716,2237,,
04:06.0,00:00.0,100,2,74,67,70,46293,13396,7408,15348,18003,18488,23542,13743,,
04:07.0,00:00.0,100,2,78,64,71,3887,20980,8770,16105,16427,25212,18465,7434,,
04:08.0,00:00.0,100,2,61,80,70,8171,32350,1933,18196,12726,22456,51081,5764,,
04:09.0,00:00.0,100,2,75,69,72,6694,10461,5615,14800,10240,37249,22830,14142,,
04:10.0,00:00.0,100,2,88,51,69,25795,21038,526,11455,13546,79501,9663,5601,,
04:11.0,00:00.0,100,2,84,61,72,16887,17139,31970,23270,18308,27729,19081,7436,,
04:12.0,00:00.0,100,2,91,69,80,5408,9195,13213,13388,10228,28270,22992,6884,,
04:13.0,00:00.0,100,2,100,57,78,7193,7250,3194,3245,5390,39655,37924,6451,,
04:14.0,00:00.0,100,2,96,61,78,19970,10886,5492,5198,24226,33175,7496,11709,,
04:15.0,00:00.0,100,2,100,44,72,22661,16484,12057,5966,47124,22165,8193,4810,,
04:16.0,00:00.0,100,2,94,16,55,485322,80758,4400,2017,13048,35731,7702,6897,,
04:17.0,00:00.0,100,2,91,17,54,8555,23100,9987,6326,13583,77159,35820,6472,,
04:18.0,00:00.0,100,2,83,34,58,8896,11386,15263,20553,22172,32197,25139,5838,,
04:19.0,00:00.0,100,2,93,30,61,22394,16719,6264,15952,32376,57921,13009,8424,,
04:20.0,00:00.0,100,2,90,60,75,3153,34281,7559,23161,7884,19406,29273,10854,,
04:21.0,00:00.0,100,2,80,74,77,3468,10351,9418,6219,7277,17579,40382,5204,,
04:22.0,00:00.0,100,2,80,70,75,2873,12960,7428,12874,12703,23730,15973,8614,,
