Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:12.0,00:00.0,100,2,40,77,58,395780,87709,18866,21628,7435,13434,7691,13863,,,,,
57:13.0,00:00.0,100,2,43,60,51,211057,89011,9917,7119,19711,14387,13138,3291,,,,,
57:14.0,00:00.0,100,2,51,40,45,62176,165958,15339,31793,24601,29486,11449,2176,,,,,
57:15.0,00:00.0,100,2,56,41,48,36627,32517,8117,20134,16804,21981,11116,2718,,,,,
57:16.0,00:00.0,100,2,48,43,45,310378,149085,44493,24282,20189,10172,4173,3611,,,,,
57:17.0,00:00.0,100,2,44,50,47,15221,57853,5486,15059,14217,9864,3813,3300,,,,,
57:18.0,00:00.0,100,2,44,57,50,51944,42410,38351,12955,42083,11421,2674,3368,,,,,
57:19.0,00:00.0,100,2,44,57,50,6063,16065,5000,14693,22922,13227,2071,2224,,,,,
57:20.0,00:00.0,100,2,61,60,60,57900,13936,17090,2190,11045,8677,14344,2251,,,,,
57:21.0,00:00.0,100,2,61,57,59,68467,78867,15598,8265,10687,12330,9478,2147,,,,,
57:22.0,00:00.0,100,2,70,48,59,18877,34707,4338,10682,43927,17962,7208,1361,,,,,
57:23.0,00:00.0,100,2,66,53,59,284676,40368,25616,21457,17187,15914,16614,3850,,,,,
57:24.0,00:00.0,100,2,61,50,55,80282,64926,6844,25824,11509,13951,10438,1130,,,,,
57:25.0,00:00.0,100,2,61,64,62,55790,16850,10370,51820,16983,9314,5896,1612,,,,,
57:26.0,00:00.0,100,2,60,81,70,8186,21900,31464,64986,35026,40296,5971,2950,,,,,
57:27.0,00:00.0,100,2,53,84,68,25878,32001,23709,29161,15962,7581,7079,2511,,,,,
57:28.0,00:00.0,100,2,53,84,68,177359,70905,12365,27364,20230,17563,2769,4327,,,,,
57:29.0,00:00.0,100,2,54,83,68,110272,36315,55318,21642,4799,16172,5303,3649,,,,,
57:30.0,00:00.0,100,2,44,66,55,79143,31065,1151,3805,2515,3833,2259,641,,,,,
57:31.0,00:00.0,100,2,43,66,54,106976,18542,1730,20891,2184,3177,2624,914,,,,,
57:32.0,00:00.0,100,2,47,75,61,260705,43345,60079,5653,7264,25984,9756,3915,,,,,
57:33.0,00:00.0,100,2,50,53,51,16427,62737,5190,4995,5063,14647,5189,1802,,,,,
57:34.0,00:00.0,100,2,47,61,54,40356,90205,17779,29391,23538,10339,6096,1934,,,,,
57:35.0,00:00.0,100,2,48,61,54,43513,48565,12232,61971,22141,10607,6615,1557,,,,,
57:36.0,00:00.0,100,2,47,60,53,10698,19223,18094,9993,14669,8979,5755,2854,,,,,
57:37.0,00:00.0,100,2,44,77,60,29951,28733,12227,35428,11567,14719,5397,2596,,,,,
57:38.0,00:00.0,100,2,50,77,63,6880,126974,26443,32571,23616,21704,4026,3737,,,,,
57:39.0,00:00.0,100,2,54,75,64,61718,22309,16196,40523,23866,12873,9633,5495,,,,,
57:40.0,00:00.0,100,2,56,70,63,33286,47767,24899,9759,22684,18377,3823,3030,,,,,
57:41.0,00:00.0,100,2,47,63,55,28224,103097,29288,11397,14407,9467,1795,2475,,,,,
57:42.0,00:00.0,100,2,43,63,53,4937,63531,19789,21190,34548,8794,4532,1530,,,,,
57:43.0,00:00.0,100,2,41,60,50,2879,51429,35523,21499,24472,15116,8503,2661,,,,,
57:44.0,00:00.0,100,2,44,66,55,6937,9997,11755,17066,12205,10314,3905,2045,,,,,
57:45.0,00:00.0,100,2,50,75,62,20452,48683,46376,7079,8656,11468,3143,1607,,,,,
57:46.0,00:00.0,100,2,60,77,68,660479,71927,32646,27999,11299,34696,6329,2389,,,,,
57:47.0,00:00.0,100,2,61,66,63,181540,104895,23190,6711,18113,26432,8878,2088,,,,,
57:48.0,00:00.0,100,2,56,60,58,4822,31312,19723,2959,17968,8707,8758,3438,,,,,
57:49.0,00:00.0,100,2,70,48,59,48679,36642,5902,10466,22832,24973,10387,4244,,,,,
57:50.0,00:00.0,100,2,69,48,58,310937,38398,7262,27292,17822,15077,4366,2385,,,,,
57:51.0,00:00.0,100,2,74,51,62,127840,32808,2739,19564,23581,12426,6348,4305,,,,,
57:52.0,00:00.0,100,2,80,50,65,31732,22715,3705,8618,7014,11558,2963,8596,,,,,
57:53.0,00:00.0,100,2,63,54,58,24813,52755,16461,11332,19534,7278,4837,1537,,,,,
57:54.0,00:00.0,100,2,50,43,46,490331,312370,16438,33961,35931,20225,12985,2632,,,,,
57:55.0,00:00.0,100,2,48,48,48,44639,29624,13436,13787,12240,10716,4871,5466,,,,,
57:56.0,00:00.0,100,2,43,56,49,143469,6254,8249,5110,6945,3830,1736,604,,,,,
57:57.0,00:00.0,100,2,43,53,48,171060,184289,8435,45529,26507,25895,4812,9059,,,,,
57:58.0,00:00.0,100,2,57,69,63,538865,18599,41648,20754,32177,20356,4163,15241,,,,,
57:59.0,00:00.0,100,2,67,70,68,29614,10075,5689,12360,5001,12886,5425,3070,,,,,
58:00.0,00:00.0,100,2,67,60,63,601815,124510,33345,9049,28133,34159,5693,4708,,,,,
58:01.0,00:00.0,100,2,70,77,73,1142334,27878,47558,55790,23212,21192,11380,7421,,,,,
58:02.0,00:00.0,100,2,64,67,65,620260,95428,27662,23901,13900,16172,4306,5073,,,,,
58:03.0,00:00.0,100,2,53,66,59,929656,102890,36166,39318,23601,26287,16353,5538,,,,,
58:04.0,00:00.0,100,2,51,78,64,735691,15419,5317,16813,3676,6765,2584,914,,,,,
58:05.0,00:00.0,100,2,47,63,55,249260,117029,5574,38761,29939,13690,8321,8553,,,,,
58:06.0,00:00.0,100,2,51,66,58,36820,26387,11576,16693,9992,12158,6383,3799,,,,,
58:07.0,00:00.0,100,2,56,69,62,116886,12728,9150,15866,17099,9788,8189,4524,,,,,
