'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
15:46.0,00:00.0,87,5,35,40,37,4221,7586,8912,5585,598,746,67,18,,,,,,
15:47.0,00:00.0,74,5,35,40,37,418367,90452,19344,20306,19339,24588,7794,993,,,,,,
15:48.0,00:00.0,74,5,35,40,37,2240311,50282,2287,16207,28269,19758,2265,2076,,,,,,
15:49.0,00:00.0,74,5,35,40,37,2486236,368729,201225,137852,77123,44120,16947,6385,,,,,,
15:50.0,00:00.0,74,5,35,40,37,1116709,8167,7245,23413,7249,10790,5415,2051,,,,,,
15:51.0,00:00.0,87,5,35,40,37,73204,102410,81337,45011,23535,17836,8261,3322,,,,,,
15:52.0,00:00.0,87,5,35,40,37,1249003,1282536,236639,96466,272946,351553,151575,361882,,,,,,
15:53.0,00:00.0,87,5,35,40,37,1198460,12163,20836,22757,31095,43046,10527,2902,,,,,,
15:54.0,00:00.0,87,5,35,40,37,366776,117533,60666,32213,20458,9439,1562,3764,,,,,,
15:55.0,00:00.0,87,5,35,40,37,625737,60256,17850,33899,6783,3518,1914,567,,,,,,
15:56.0,00:00.0,100,5,34,35,34,2358031,483079,38101,11596,29303,23831,8187,898,,,,,,
15:57.0,00:00.0,100,2,37,47,42,516234,43083,23705,4694,5330,2830,1895,1647,,,,,,
15:58.0,00:00.0,100,2,37,38,37,1335970,83338,9462,25156,40161,18279,4134,779,,,,,,
15:59.0,00:00.0,74,5,37,38,37,414002,22003,11321,9459,5737,3950,1412,435,,,,,,
16:00.0,00:00.0,100,5,30,47,38,1557368,618902,501962,211450,196329,99779,85218,11424,,,,,,
16:01.0,00:00.0,100,5,34,54,44,604498,315198,49052,20242,13040,17538,9590,4654,,,,,,
16:02.0,00:00.0,74,6,34,54,44,1020125,178587,38364,65900,23601,40773,9676,8504,,,,,,
16:03.0,00:00.0,100,6,38,51,44,1595882,45672,17677,6792,10241,4783,1743,709,,,,,,
16:04.0,00:00.0,100,2,43,61,52,390331,27768,5280,24222,7342,13380,3724,1109,,,,,,
16:05.0,00:00.0,100,2,43,56,49,745822,15720,4379,5622,2042,1947,453,226,,,,,,
16:06.0,00:00.0,100,1,40,57,48,1699549,114314,18106,16231,12330,5155,2354,1350,,,,,,
16:07.0,00:00.0,74,5,40,57,48,1780822,1584946,31380,168144,143443,69795,25261,4317,,,,,,
16:08.0,00:00.0,100,5,37,54,45,2311713,594925,130590,71367,98875,35378,12465,1531,,,,,,
16:09.0,00:00.0,87,5,37,54,45,932406,43043,5524,15973,8563,9852,2109,1455,,,,,,
16:10.0,00:00.0,100,5,23,41,32,175854,73343,6956,6619,5926,5500,1065,226,,,,,,
16:11.0,00:00.0,100,2,27,40,33,669234,37281,13351,9536,10856,8790,8276,1784,,,,,,
16:12.0,00:00.0,100,1,44,43,43,439195,303638,122519,23628,28083,89322,30051,7224,,,,,,
16:13.0,00:00.0,87,2,44,43,43,1549234,93741,11946,4975,6480,23336,10016,3962,,,,,,
16:14.0,00:00.0,100,2,56,44,50,818569,65265,18423,15411,30328,15266,8794,2512,,,,,,
16:15.0,00:00.0,100,1,63,56,59,49954,30524,10274,20355,19984,7377,4119,1664,,,,,,
16:16.0,00:00.0,100,1,56,38,47,1307172,1011926,35206,34091,33794,78475,86567,10457,,,,,,
16:17.0,00:00.0,100,2,50,44,47,737131,580961,592872,32795,92005,115994,67190,2787,,,,,,
16:18.0,00:00.0,100,2,41,40,40,331117,1139689,77605,188840,103478,96163,61013,10766,,,,,,
16:19.0,00:00.0,100,2,27,29,28,1297599,2008826,270228,121706,70641,73891,20404,8064,,,,,,
16:20.0,00:00.0,100,2,23,38,30,1578712,152646,7840,17111,11854,6200,5949,1269,,,,,,
16:21.0,00:00.0,74,3,23,38,30,574708,125347,109677,87173,104273,53260,17350,7522,,,,,,
16:22.0,00:00.0,100,3,17,38,27,2073385,668500,312215,320501,74751,81001,17850,13894,,,,,,
16:23.0,00:00.0,100,1,21,43,32,838793,165901,34328,38812,19419,21632,11769,2074,,,,,,
16:24.0,00:00.0,100,2,43,64,53,1066282,16445,47609,5847,5765,20828,9483,2750,,,,,,
16:25.0,00:00.0,100,1,48,70,59,1152087,357926,82489,74480,125696,35207,18297,4185,,,,,,
16:26.0,00:00.0,100,2,50,63,56,1388742,499348,64862,156045,63748,48041,33675,7593,,,,,,
16:27.0,00:00.0,100,3,43,64,53,1045278,366053,58989,88530,21728,24158,11671,9297,,,,,,
16:28.0,00:00.0,100,2,21,48,34,283977,84638,8738,14830,5224,3826,3002,1213,,,,,,
16:29.0,00:00.0,100,2,24,56,40,1044766,74005,63894,18242,21743,14387,10280,1048,,,,,,
16:30.0,00:00.0,100,2,27,53,40,1730150,915707,129833,123545,131483,103512,41648,10357,,,,,,
16:31.0,00:00.0,87,2,27,53,40,1091888,34074,11065,4874,25124,3537,5393,660,,,,,,
16:32.0,00:00.0,87,2,27,53,40,2286039,133306,11132,52351,48439,8706,4559,1177,,,,,,
